figure_id,output_file,generating_script,primary_inputs,status
FIG_PCA,results/figures/01_pca_vst.png,scripts/02_run_deseq2.R,data/raw_counts/featurecounts_gene_counts.tsv; data/metadata/sample_metadata_confirmed_local.csv,planned
FIG_BARCODE,results/manifests/figure_traceability.csv,scripts/05_build_figure_traceability.R,scripts/02_run_deseq2.R; scripts/03_run_hallmark_gsea.R; scripts/04_make_volcano_plots.R,generated
FIG_METHODS,RNAseq_methods_paper_ready.md,manual_methods_file,config/analysis_config.yml; data/metadata/sample_metadata_confirmed_local.csv,generated
VOLCANO_MAPK15OE_vs_PCEFL_in_2D,results/figures/02_volcano_MAPK15OE_vs_PCEFL_in_2D.png,scripts/04_make_volcano_plots.R,results/deseq2/MAPK15OE_vs_PCEFL_in_2D_deseq2_results.csv,planned
GSEA_MAPK15OE_vs_PCEFL_in_2D,results/figures/03_hallmark_gsea_MAPK15OE_vs_PCEFL_in_2D.png,scripts/03_run_hallmark_gsea.R,results/deseq2/MAPK15OE_vs_PCEFL_in_2D_deseq2_results.csv,planned
VOLCANO_MAPK15OE_vs_PCEFL_in_Suspension_24hr,results/figures/02_volcano_MAPK15OE_vs_PCEFL_in_Suspension_24hr.png,scripts/04_make_volcano_plots.R,results/deseq2/MAPK15OE_vs_PCEFL_in_Suspension_24hr_deseq2_results.csv,planned
GSEA_MAPK15OE_vs_PCEFL_in_Suspension_24hr,results/figures/03_hallmark_gsea_MAPK15OE_vs_PCEFL_in_Suspension_24hr.png,scripts/03_run_hallmark_gsea.R,results/deseq2/MAPK15OE_vs_PCEFL_in_Suspension_24hr_deseq2_results.csv,planned
VOLCANO_Suspension_vs_2D_in_PCEFL,results/figures/02_volcano_Suspension_vs_2D_in_PCEFL.png,scripts/04_make_volcano_plots.R,results/deseq2/Suspension_vs_2D_in_PCEFL_deseq2_results.csv,planned
GSEA_Suspension_vs_2D_in_PCEFL,results/figures/03_hallmark_gsea_Suspension_vs_2D_in_PCEFL.png,scripts/03_run_hallmark_gsea.R,results/deseq2/Suspension_vs_2D_in_PCEFL_deseq2_results.csv,planned
VOLCANO_Suspension_vs_2D_in_MAPK15OE,results/figures/02_volcano_Suspension_vs_2D_in_MAPK15OE.png,scripts/04_make_volcano_plots.R,results/deseq2/Suspension_vs_2D_in_MAPK15OE_deseq2_results.csv,planned
GSEA_Suspension_vs_2D_in_MAPK15OE,results/figures/03_hallmark_gsea_Suspension_vs_2D_in_MAPK15OE.png,scripts/03_run_hallmark_gsea.R,results/deseq2/Suspension_vs_2D_in_MAPK15OE_deseq2_results.csv,planned
