sample_id,mapk15_status,attachment_state,condition,batch
PCEFL_2d_1,PCEFL,2D,PCEFL_2D,UNVERIFIED
PCEFL_2d_2,PCEFL,2D,PCEFL_2D,UNVERIFIED
PCEFL_2d_3,PCEFL,2D,PCEFL_2D,UNVERIFIED
PCEFL_2d_4,PCEFL,2D,PCEFL_2D,UNVERIFIED
PCEFL_24hr_1,PCEFL,Suspension_24hr,PCEFL_Suspension_24hr,UNVERIFIED
PCEFL_24hr_2,PCEFL,Suspension_24hr,PCEFL_Suspension_24hr,UNVERIFIED
PCEFL_24hr_4,PCEFL,Suspension_24hr,PCEFL_Suspension_24hr,UNVERIFIED
PCEFL_24hr_5,PCEFL,Suspension_24hr,PCEFL_Suspension_24hr,UNVERIFIED
OE_2d_1,MAPK15OE,2D,MAPK15OE_2D,UNVERIFIED
OE_2d_2,MAPK15OE,2D,MAPK15OE_2D,UNVERIFIED
OE_2d_3,MAPK15OE,2D,MAPK15OE_2D,UNVERIFIED
OE_2d_5,MAPK15OE,2D,MAPK15OE_2D,UNVERIFIED
OE_24hr_2,MAPK15OE,Suspension_24hr,MAPK15OE_Suspension_24hr,UNVERIFIED
OE_24hr_3,MAPK15OE,Suspension_24hr,MAPK15OE_Suspension_24hr,UNVERIFIED
OE_24hr_4,MAPK15OE,Suspension_24hr,MAPK15OE_Suspension_24hr,UNVERIFIED
OE_24hr_5,MAPK15OE,Suspension_24hr,MAPK15OE_Suspension_24hr,UNVERIFIED
