"hedgehog_gene","immune_gene","rho","p_value","fdr","n"
"GLI1","CXCL10",-0.415335642174595,6.11678907685963e-14,4.70992758918192e-12,300
"PTCH1","CCL5",-0.391613684596495,1.95422540008826e-12,7.5237677903398e-11,300
"PTCH1","CXCL10",-0.383581150901677,5.94003859105708e-12,1.52460990503798e-10,300
"GLI2","CXCL10",-0.373217924643607,2.38520295265242e-11,4.5915156838559e-10,300
"PTCH2","CCL5",-0.365839620440227,6.22997704152254e-11,9.59416464394471e-10,300
"PTCH1","CD8A",-0.339754441716019,1.53359520532602e-09,1.96811384683505e-08,300
"GLI1","CCL5",-0.31529760840598,2.38698746384242e-08,2.62568621022666e-07,300
"IHH","CCL5",-0.312730328744528,3.14005555842819e-08,3.02230347498713e-07,300
"GLI1","CD80",-0.303235726279511,8.46494413099178e-08,7.24222997873741e-07,300
"PTCH2","CD8A",-0.299610884565384,1.22476511774294e-07,9.43069140662062e-07,300
"PTCH1","CD80",-0.291198601228749,2.83123237749337e-07,1.98186266424536e-06,300
"IHH","CD80",-0.278510378565838,9.52933201312154e-07,5.71692360349356e-06,300
"PTCH1","FOXP3",-0.278373315259058,9.65194894096316e-07,5.71692360349356e-06,300
"PTCH2","CXCL10",-0.27723152479472,1.07338050964548e-06,5.90359280305012e-06,300
"GLI2","CD80",-0.273572181198924,1.50393791450088e-06,7.72021462777118e-06,300
"IHH","CD8A",-0.267362877081974,2.63600602212179e-06,1.26857789814611e-05,300
"GLI2","CCL5",-0.258757986199847,5.60737914756076e-06,2.53981290801282e-05,300
"PTCH2","CD80",-0.258075562847985,5.94659953304474e-06,2.54382313358025e-05,300
"PTCH2","FOXP3",-0.254586384293159,8.00901303995764e-06,3.24575791619336e-05,300
"GLI1","FOXP3",-0.253080007471211,9.09561200660433e-06,3.50181062254267e-05,300
"IHH","CXCL10",-0.245130463135092,1.75682064074001e-05,6.44167568271339e-05,300
"PTCH1","PDCD1",-0.242972060019786,2.09272523068625e-05,7.32453830740188e-05,300
"SHH","CXCL10",-0.236119117177692,3.6088637279043e-05,0.000120818481325492,300
"SHH","CD80",-0.231535590922536,5.14978261845932e-05,0.000165222192342236,300
"GLI1","CD8A",-0.225329023209945,8.24130969143889e-05,0.000253832338496318,300
"SHH","CCL5",-0.222790252093403,9.95215998233468e-05,0.000294737045630681,300
"SHH","CD274",-0.222208007242038,0.000103890119904377,0.000296279230838409,300
"IHH","FOXP3",-0.21662546159752,0.000155950798340688,0.000428864695436893,300
"SHH","CD8A",-0.208989382950854,0.000267369148607844,0.000709911187682895,300
"PTCH1","CCL17",-0.203106923678336,0.000399825439142212,0.00102621862713168,300
"HHIP","MRC1",0.199664830737128,0.000503375207812494,0.00125031906456652,300
"GLI2","CD8A",-0.198078645318281,0.000559024592472429,0.00134515292563678,300
"HHIP","CCL22",0.19459748445363,0.000701709888762525,0.00163732307377923,300
"GLI1","CD274",-0.19296487504247,0.000779623819665276,0.00176561865041842,300
"PTCH2","CCL17",-0.188741428120795,0.00101973668392252,0.00224342070462954,300
"GLI2","CD274",-0.18608384537606,0.00120396953717812,0.00257515706563097,300
"GLI2","FOXP3",-0.183438482649807,0.00141729985226834,0.00294951590877465,300
"IHH","CD274",-0.181352121661065,0.00160942847580016,0.00326121033254243,300
"IHH","PDCD1",-0.178264194542431,0.00193781757492935,0.0038259475197323,300
"IHH","CCL22",-0.16850024730347,0.00341935655449843,0.00658226136740948,300
"HHIP","CCL17",0.163130228298615,0.00461563660275706,0.00840936645718531,300
"PTCH2","CCL22",-0.163024051714359,0.00464268974341506,0.00840936645718531,300
"GLI1","CCL17",-0.162756204577756,0.00471157137519041,0.00840936645718531,300
"HHIP","FOXP3",0.162397150303014,0.00480535226124875,0.00840936645718531,300
"PTCH1","MRC1",-0.159500438893765,0.00562557182188022,0.00962597845077283,300
"IHH","CCL17",-0.156574231516396,0.00657962938654238,0.0110137274513862,300
"IHH","MRC1",-0.153359842580975,0.00779227847145545,0.0127660732404696,300
"PTCH2","PDCD1",-0.15275526980914,0.00804143219494207,0.0128997974793862,300
"GLI1","PDCD1",-0.150555739755219,0.00900883244659231,0.0141567367017879,300
"PTCH2","ARG1",0.148208047391768,0.0101542019983632,0.0156374710774793,300
"SHH","FOXP3",-0.143730713543772,0.0127008615791081,0.0191758106194377,300
"PTCH1","CCL22",-0.13860133319274,0.0162955015165073,0.0241298772455974,300
"PTCH1","CD274",-0.134299269991889,0.0199667603100951,0.0290083121486287,300
"HHIP","CD8A",0.122881504651211,0.0333740636266452,0.0475889425787349,300
"HHIP","PDCD1",0.107565836632721,0.0627838373272142,0.0878973722580998,300
"SHH","CCL22",-0.106327485005311,0.0658894949692359,0.0890841291593274,300
"GLI1","ARG1",0.106305638571094,0.0659453943127488,0.0890841291593274,300
"GLI2","PDCD1",-0.0995128945335948,0.0853067567979124,0.112369113874938,300
"HHIP","CXCL10",-0.0992620892118914,0.0861010093327443,0.112369113874938,300
"HHIP","CCL5",0.0977933771139595,0.0908721815053494,0.116619299598532,300
"HHIP","CD80",0.0891355870254788,0.123439417802628,0.155816970013153,300
"GLI1","MRC1",0.0856843139427088,0.138706678028997,0.172264745294077,300
"GLI2","CCL17",-0.0842924200404866,0.145258364286485,0.177538000794593,300
"PTCH1","ARG1",0.082906378982377,0.152014228378284,0.182892118517623,300
"SHH","CCL17",-0.0823516641757678,0.15478375305309,0.183359215155199,300
"PTCH2","CD274",-0.0662549583884265,0.252608596079354,0.294710028759246,300
"SHH","MRC1",-0.0600542997086,0.299845564752079,0.344598634118061,300
"GLI1","CCL22",-0.0541432923224904,0.350015073126709,0.39578116146505,300
"PTCH2","MRC1",-0.0536241513794598,0.354661040793357,0.39578116146505,300
"SHH","ARG1",0.0318843749821957,0.582259030938923,0.640484934032815,300
"SHH","PDCD1",-0.0220681322310957,0.703439273643541,0.762884846064122,300
"HHIP","ARG1",-0.02003386525585,0.72965626372991,0.780326837600043,300
"HHIP","CD274",0.012794776124326,0.82532922477117,0.870552743936713,300
"IHH","ARG1",-0.011712784158802,0.83989219163447,0.87394187507911,300
"GLI2","ARG1",0.00669812441347763,0.908023545926857,0.932237507151573,300
"GLI2","CCL22",-0.00276069764782918,0.96202135800982,0.971741327062027,300
"GLI2","MRC1",0.00205380059778442,0.971741327062027,0.971741327062027,300
