"ratio_method","score_type","metric","category","rho","p_value","fdr","n"
"corrected","hh_activation_score","CXCL10","effector",-0.458917543528261,4.94653765674822e-17,6.43049895377269e-16,300
"corrected","hh_activation_score","arg1_cxcl10_ratio","suppressive",0.449766330737008,2.40368576857487e-16,1.56239574957366e-15,300
"corrected","hh_activation_score","CCL5","effector",-0.354360826231403,2.64471592448135e-10,1.14604356727525e-09,300
"corrected","hh_activation_score","CD80","suppressive",-0.295229594566626,1.90128178068363e-07,6.1791657872218e-07,300
"corrected","hh_activation_score","mrc1_cd8a_ratio","suppressive",0.282627584750942,6.46950729728389e-07,1.68207189729381e-06,300
"corrected","hh_activation_score","CD8A","effector",-0.25898154423938,5.50031862961098e-06,1.19173570308238e-05,300
"corrected","hh_activation_score","FOXP3","suppressive",-0.221245124945833,0.000111511828558248,0.00020709339589389,300
"corrected","hh_activation_score","CD274","suppressive",-0.162363209530437,0.00481430356994436,0.00728480012528289,300
"corrected","hh_activation_score","PDCD1","suppressive",-0.161513593886803,0.00504332316365738,0.00728480012528289,300
"corrected","hh_activation_score","CCL17","suppressive",-0.137319527383171,0.0173220841369163,0.0225187093779912,300
"corrected","hh_activation_score","ARG1","suppressive",0.0726461182253817,0.209597417359443,0.247706038697524,300
"corrected","hh_activation_score","MRC1","suppressive",0.0382604251158346,0.509147788621855,0.510150409115014,300
"corrected","hh_activation_score","CCL22","suppressive",-0.0381699790819088,0.510150409115014,0.510150409115014,300
"corrected","hh_ligand_score","CCL5","effector",-0.362333925528423,9.74788350867107e-11,1.26722485612724e-09,300
"corrected","hh_ligand_score","CD80","suppressive",-0.325111218110562,8.16848492020666e-09,5.30951519813433e-08,300
"corrected","hh_ligand_score","CD8A","effector",-0.306541398608388,6.0173211830609e-08,2.60750584599306e-07,300
"corrected","hh_ligand_score","CXCL10","effector",-0.286735413674035,4.36866369992885e-07,1.41981570247687e-06,300
"corrected","hh_ligand_score","arg1_cxcl10_ratio","suppressive",0.262483969159956,4.05714455617388e-06,1.05485758460521e-05,300
"corrected","hh_ligand_score","CD274","suppressive",-0.24723289124742,1.47925272641266e-05,3.2050475738941e-05,300
"corrected","hh_ligand_score","FOXP3","suppressive",-0.232743218450521,4.69248745723907e-05,8.71461956344398e-05,300
"corrected","hh_ligand_score","CCL22","suppressive",-0.187565488157986,0.00109779576443219,0.00178391811720231,300
"corrected","hh_ligand_score","MRC1","suppressive",-0.172214599634322,0.00276446092843902,0.00399311022996748,300
"corrected","hh_ligand_score","CCL17","suppressive",-0.166785358149815,0.00376670380438486,0.00489671494570032,300
"corrected","hh_ligand_score","mrc1_cd8a_ratio","suppressive",0.15763298757793,0.00621889056352521,0.00734959793871162,300
"corrected","hh_ligand_score","PDCD1","suppressive",-0.11234744544215,0.0519015011475873,0.0562266262432195,300
"corrected","hh_ligand_score","ARG1","suppressive",0.012201389182371,0.833308790844793,0.833308790844793,300
"old","hh_activation_score","CXCL10","effector",-0.458917543528261,4.94653765674822e-17,6.43049895377269e-16,300
"old","hh_activation_score","arg1_cxcl10_ratio","suppressive",0.410396115512395,1.28736588026728e-13,8.36787822173729e-13,300
"old","hh_activation_score","CCL5","effector",-0.354360826231403,2.64471592448135e-10,1.14604356727525e-09,300
"old","hh_activation_score","CD80","suppressive",-0.295229594566626,1.90128178068363e-07,6.1791657872218e-07,300
"old","hh_activation_score","mrc1_cd8a_ratio","suppressive",0.280096001066679,8.21503796307749e-07,2.13590987040015e-06,300
"old","hh_activation_score","CD8A","effector",-0.25898154423938,5.50031862961098e-06,1.19173570308238e-05,300
"old","hh_activation_score","FOXP3","suppressive",-0.221245124945833,0.000111511828558248,0.00020709339589389,300
"old","hh_activation_score","CD274","suppressive",-0.162363209530437,0.00481430356994436,0.00728480012528289,300
"old","hh_activation_score","PDCD1","suppressive",-0.161513593886803,0.00504332316365738,0.00728480012528289,300
"old","hh_activation_score","CCL17","suppressive",-0.137319527383171,0.0173220841369163,0.0225187093779912,300
"old","hh_activation_score","ARG1","suppressive",0.0726461182253817,0.209597417359443,0.247706038697524,300
"old","hh_activation_score","MRC1","suppressive",0.0382604251158346,0.509147788621855,0.510150409115014,300
"old","hh_activation_score","CCL22","suppressive",-0.0381699790819088,0.510150409115014,0.510150409115014,300
"old","hh_ligand_score","CCL5","effector",-0.362333925528423,9.74788350867107e-11,1.26722485612724e-09,300
"old","hh_ligand_score","CD80","suppressive",-0.325111218110562,8.16848492020666e-09,5.30951519813433e-08,300
"old","hh_ligand_score","CD8A","effector",-0.306541398608388,6.0173211830609e-08,2.60750584599306e-07,300
"old","hh_ligand_score","CXCL10","effector",-0.286735413674035,4.36866369992885e-07,1.41981570247687e-06,300
"old","hh_ligand_score","CD274","suppressive",-0.24723289124742,1.47925272641266e-05,3.84605708867292e-05,300
"old","hh_ligand_score","arg1_cxcl10_ratio","suppressive",0.239091338468406,2.85485004982379e-05,6.18550844128487e-05,300
"old","hh_ligand_score","FOXP3","suppressive",-0.232743218450521,4.69248745723907e-05,8.71461956344398e-05,300
"old","hh_ligand_score","CCL22","suppressive",-0.187565488157986,0.00109779576443219,0.00178391811720231,300
"old","hh_ligand_score","mrc1_cd8a_ratio","suppressive",0.172932302589384,0.00265191270141503,0.00359379920697073,300
"old","hh_ligand_score","MRC1","suppressive",-0.172214599634322,0.00276446092843902,0.00359379920697073,300
"old","hh_ligand_score","CCL17","suppressive",-0.166785358149815,0.00376670380438486,0.00445155904154575,300
"old","hh_ligand_score","PDCD1","suppressive",-0.11234744544215,0.0519015011475873,0.0562266262432195,300
"old","hh_ligand_score","ARG1","suppressive",0.012201389182371,0.833308790844793,0.833308790844793,300
