"score_type","metric","category","rho_old","fdr_old","rho_corrected","fdr_corrected","abs_rho_delta","direction_changed"
"hh_activation_score","arg1_cxcl10_ratio","suppressive",0.410396115512395,8.36787822173729e-13,0.449766330737008,1.56239574957366e-15,0.0393702152246136,FALSE
"hh_activation_score","mrc1_cd8a_ratio","suppressive",0.280096001066679,2.13590987040015e-06,0.282627584750942,1.68207189729381e-06,0.00253158368426315,FALSE
"hh_activation_score","ARG1","suppressive",0.0726461182253817,0.247706038697524,0.0726461182253817,0.247706038697524,0,FALSE
"hh_activation_score","CCL17","suppressive",-0.137319527383171,0.0225187093779912,-0.137319527383171,0.0225187093779912,0,FALSE
"hh_activation_score","CCL22","suppressive",-0.0381699790819088,0.510150409115014,-0.0381699790819088,0.510150409115014,0,FALSE
"hh_activation_score","CCL5","effector",-0.354360826231403,1.14604356727525e-09,-0.354360826231403,1.14604356727525e-09,0,FALSE
"hh_activation_score","CD274","suppressive",-0.162363209530437,0.00728480012528289,-0.162363209530437,0.00728480012528289,0,FALSE
"hh_activation_score","CD80","suppressive",-0.295229594566626,6.1791657872218e-07,-0.295229594566626,6.1791657872218e-07,0,FALSE
"hh_activation_score","CD8A","effector",-0.25898154423938,1.19173570308238e-05,-0.25898154423938,1.19173570308238e-05,0,FALSE
"hh_activation_score","CXCL10","effector",-0.458917543528261,6.43049895377269e-16,-0.458917543528261,6.43049895377269e-16,0,FALSE
"hh_activation_score","FOXP3","suppressive",-0.221245124945833,0.00020709339589389,-0.221245124945833,0.00020709339589389,0,FALSE
"hh_activation_score","MRC1","suppressive",0.0382604251158346,0.510150409115014,0.0382604251158346,0.510150409115014,0,FALSE
"hh_activation_score","PDCD1","suppressive",-0.161513593886803,0.00728480012528289,-0.161513593886803,0.00728480012528289,0,FALSE
"hh_ligand_score","arg1_cxcl10_ratio","suppressive",0.239091338468406,6.18550844128487e-05,0.262483969159956,1.05485758460521e-05,0.0233926306915505,FALSE
"hh_ligand_score","mrc1_cd8a_ratio","suppressive",0.172932302589384,0.00359379920697073,0.15763298757793,0.00734959793871162,-0.0152993150114541,FALSE
"hh_ligand_score","ARG1","suppressive",0.012201389182371,0.833308790844793,0.012201389182371,0.833308790844793,0,FALSE
"hh_ligand_score","CCL17","suppressive",-0.166785358149815,0.00445155904154575,-0.166785358149815,0.00489671494570032,0,FALSE
"hh_ligand_score","CCL22","suppressive",-0.187565488157986,0.00178391811720231,-0.187565488157986,0.00178391811720231,0,FALSE
"hh_ligand_score","CCL5","effector",-0.362333925528423,1.26722485612724e-09,-0.362333925528423,1.26722485612724e-09,0,FALSE
"hh_ligand_score","CD274","suppressive",-0.24723289124742,3.84605708867292e-05,-0.24723289124742,3.2050475738941e-05,0,FALSE
"hh_ligand_score","CD80","suppressive",-0.325111218110562,5.30951519813433e-08,-0.325111218110562,5.30951519813433e-08,0,FALSE
"hh_ligand_score","CD8A","effector",-0.306541398608388,2.60750584599306e-07,-0.306541398608388,2.60750584599306e-07,0,FALSE
"hh_ligand_score","CXCL10","effector",-0.286735413674035,1.41981570247687e-06,-0.286735413674035,1.41981570247687e-06,0,FALSE
"hh_ligand_score","FOXP3","suppressive",-0.232743218450521,8.71461956344398e-05,-0.232743218450521,8.71461956344398e-05,0,FALSE
"hh_ligand_score","MRC1","suppressive",-0.172214599634322,0.00359379920697073,-0.172214599634322,0.00399311022996748,0,FALSE
"hh_ligand_score","PDCD1","suppressive",-0.11234744544215,0.0562266262432195,-0.11234744544215,0.0562266262432195,0,FALSE
